序号,一级模块,二级模块,页面名称,功能编号,功能名称,功能描述,操作说明,业务规则,输入项,输出项,异常处理,权限要求,关联页面,备注
220,系统管理,用户管理,用户管理,F-220,用户管理页面展示,系统以表格形式展示所有系统用户列表，支持管理系统用户、角色和站点授权,用户从左侧菜单进入用户管理页面,展示用户姓名、登录账号、手机号、邮箱、角色、所属站点、状态等字段,无,展示用户列表表格,无,系统管理员权限,无,
221,系统管理,用户管理,用户管理,F-221,用户关键词搜索,系统支持按用户姓名、账号、手机号、邮箱搜索,用户输入关键词后点击查询,搜索范围为用户姓名、登录账号、手机号、邮箱,关键词,筛选匹配的用户列表,无,系统管理员权限,无,
222,系统管理,用户管理,用户管理,F-222,用户状态筛选,系统支持按用户状态筛选,用户选择状态（全部/启用/停用）后点击查询,无,状态,筛选指定状态的用户,无,系统管理员权限,无,
223,系统管理,用户管理,用户管理,F-223,用户查询,系统根据筛选条件更新用户列表,用户点击"查询"按钮,无,无,刷新用户列表,无,系统管理员权限,无,
224,系统管理,用户管理,用户管理,F-224,用户重置,系统恢复用户筛选条件至默认值并重新加载,用户点击"重置"按钮,无,无,重置筛选条件并刷新用户列表,无,系统管理员权限,无,
225,系统管理,用户管理,用户管理,F-225,新增用户,系统支持新增系统用户,用户点击"新增用户"按钮，在弹出的新增窗口中填写用户信息后保存,1.姓名和登录账号为必填；2.角色、所属站点、状态为必选,姓名（必填）、登录账号（必填）、手机号、邮箱、角色（必选）、所属站点（必选）、状态（启用/停用）,系统提示"用户创建成功"并刷新列表,无,系统管理员权限,无,
226,系统管理,用户管理,用户管理,F-226,角色权限配置入口,系统提供跳转至角色权限配置页面的入口,用户点击"角色权限配置"按钮跳转至角色权限页面,角色权限作为独立页面访问，不再作为系统管理二级菜单展示,无,跳转至角色权限页面,无,系统管理员权限,角色权限,
227,系统管理,用户管理,用户管理,F-227,用户刷新,系统重新加载用户列表数据,用户点击"刷新"按钮,无,无,刷新用户列表数据,无,系统管理员权限,无,
228,系统管理,用户管理,用户管理,F-228,用户编辑,系统支持编辑用户信息,用户点击"编辑"按钮，在弹出的编辑窗口中修改用户信息后保存,可编辑字段：姓名、登录账号、手机号、邮箱、角色、所属站点、状态,用户编辑表单,系统提示"用户信息已更新",无,系统管理员权限,无,
229,系统管理,用户管理,用户管理,F-229,用户停用/启用,系统支持停用或启用用户,用户点击"停用"或"启用"按钮,内置系统管理员（admin角色）不可停用,无,用户状态变更，系统提示对应消息,内置系统管理员不可停用：提示"内置系统管理员不可停用",系统管理员权限,无,
230,系统管理,用户管理,用户管理,F-230,用户重置密码,系统支持重置用户密码,用户点击"重置密码"按钮并确认,重置密码操作需二次确认,无,确认弹窗，确认后执行密码重置,无,系统管理员权限,无,
231,系统管理,角色权限,角色权限,F-231,角色权限页面展示,系统提供角色权限配置界面，包含菜单权限、按钮权限和数据权限的配置,用户从用户管理页点击"角色权限配置"进入,1.内置系统管理员角色不可删除、不可停用、不可降权；2.系统必须至少保留一个启用状态且具备系统管理权限的管理员用户,无,展示角色权限配置界面,无,系统管理员权限,用户管理,
232,系统管理,角色权限,角色权限,F-232,角色列表选择,系统支持在角色列表中切换选中角色以查看和编辑其权限配置,用户点击左侧角色列表中的角色名称,角色列表包含系统中所有已定义的角色,角色名称,加载选中角色的权限配置,无,系统管理员权限,无,
233,系统管理,角色权限,角色权限,F-233,菜单权限配置,系统支持配置角色可访问的菜单项,用户在菜单权限区域勾选或取消勾选菜单权限,菜单权限控制左侧导航菜单可见性,菜单权限复选框,更新角色菜单权限配置,无,系统管理员权限,无,
234,系统管理,角色权限,角色权限,F-234,按钮权限配置,系统支持配置角色可使用的操作按钮权限,用户在按钮权限区域勾选或取消勾选按钮权限,按钮权限控制新增/编辑/导出/分配/转交/配置等操作,按钮权限复选框,更新角色按钮权限配置,无,系统管理员权限,无,
235,系统管理,角色权限,角色权限,F-235,数据权限配置,系统支持配置角色的数据可见范围,用户选择数据权限范围,数据权限范围选项：仅本人、本团队、本区域、全部,数据权限范围选择,更新角色数据权限配置,无,系统管理员权限,无,
236,系统管理,角色权限,角色权限,F-236,保存角色权限,系统保存当前角色的权限配置,用户点击"保存权限"按钮,保存后权限即时生效,无,系统提示"角色权限已保存",无,系统管理员权限,无,
237,系统管理,系统日志,系统日志,F-237,系统日志页面展示,系统提供系统日志查询界面，包含登录日志和操作日志,用户从左侧菜单进入系统日志页面,日志数据按类型分类：登录日志和操作日志,无,展示系统日志页面,无,系统管理员权限,无,
238,系统管理,系统日志,系统日志,F-238,登录日志Tab,系统以表格形式展示登录日志记录，包含登录时间、登录账号、用户姓名、IP、方式、结果、浏览器、操作系统,用户切换至"登录日志"Tab,登录日志记录用户的登录行为和结果,无,展示登录日志列表,无,系统管理员权限,无,
239,系统管理,系统日志,系统日志,F-239,操作日志Tab,系统以表格形式展示操作日志记录，包含操作时间、操作人、操作类型、业务对象、对象名称、操作内容、IP地址,用户切换至"操作日志"Tab,操作日志记录用户的操作行为,无,展示操作日志列表,无,系统管理员权限,无,
240,系统管理,系统日志,系统日志,F-240,日志时间范围筛选,系统支持按时间范围筛选日志,用户选择时间范围后点击查询,适用于登录日志和操作日志,时间范围,筛选指定时间范围的日志,无,系统管理员权限,无,
