对象/模块,字段/能力,类型,必填,说明,来源依据,状态
工作台,时间范围,枚举,否,按日周月自定义筛选指标数据,查询条件,已整理
工作台,站点,枚举,否,按站点过滤工作台数据,查询条件,已整理
工作台,新增线索,文本,否,选定时间内新增线索总数及来源分布,详情页,已整理
工作台,待跟进,文本,否,今日待跟进线索数量,详情页,已整理
工作台,成交额,金额,否,合同金额累计总和及环比,详情页,已整理
工作台,有效线索率,文本,否,有效线索占全部线索百分比,详情页,已整理
工作台,线索成交率,文本,否,已转合同线索占有效线索百分比,详情页,已整理
工作台,客户活跃度,文本,否,近30天活跃客户数量及占比,详情页,已整理
邮件,邮箱,枚举,否,切换绑定邮箱账号,查询条件,已整理
邮件,关键词,文本,否,搜索邮件主题发件人正文,查询条件,已整理
邮件,时间范围,日期,否,按时间范围筛选邮件,查询条件,已整理
邮件,附件筛选,枚举,否,按有无附件筛选邮件,查询条件,已整理
邮件,文件夹,枚举,否,未读收件箱已发送草稿箱垃圾箱,列表字段,已整理
邮件,发件人/主题,文本,否,发件人姓名和邮件主题未读加粗,列表字段,已整理
邮件,邮件摘要,文本,否,正文预览截取前100字符,列表字段,已整理
邮件,时间,日期,否,收件时间今天显示时分历史月日,列表字段,已整理
邮件,主题,文本,否,邮件主题,详情页,已整理
邮件,发件人,文本,否,发件人信息,详情页,已整理
邮件,收件人,文本,否,收件人信息,详情页,已整理
邮件,收发时间,日期,否,邮件收发时间,详情页,已整理
邮件,来源站点,文本,否,系统匹配的来源站点,详情页,已整理
邮件,AI意向总结,文本,否,AI生成客户需求自然语言总结,详情页,已整理
邮件,AI企业情报,文本,否,AI提取企业名称行业营收规模所在地,详情页,已整理
邮件,AI风险提醒,文本,否,安全与合规风险提示,详情页,已整理
邮件,AI标签,文本,否,AI自动生成标签独立于线索标签,详情页,已整理
邮件,邮件原文,文本,否,邮件完整内容只读展示,详情页,已整理
邮件,附件,附件,否,邮件附件列表支持下载,详情页,已整理
WhatsApp,账号,枚举,否,切换绑定的WhatsApp账号,查询条件,已整理
WhatsApp,关键词,文本,否,搜索联系人企业名称消息内容,查询条件,已整理
WhatsApp,联系人名称,文本,否,发件人姓名或昵称,列表字段,已整理
WhatsApp,最后消息摘要,文本,否,最近消息正文预览截取30字符,列表字段,已整理
WhatsApp,消息时间,日期,否,最近消息时间今天时分昨天显示昨天,列表字段,已整理
WhatsApp,未读角标,文本,否,未读消息数量红色圆点数字,列表字段,已整理
WhatsApp,联系人企业,文本,否,AI识别的联系人所属企业名称,列表字段,已整理
WhatsApp,联系人姓名,文本,否,联系人姓名,详情页,已整理
WhatsApp,手机号码,电话,否,联系人手机号码,详情页,已整理
WhatsApp,企业名称,文本,否,AI提取的企业名称,详情页,已整理
WhatsApp,地理位置,地址,否,AI提取的地理位置,详情页,已整理
WhatsApp,AI意向摘要,文本,否,AI对会话内容的意向总结,详情页,已整理
WhatsApp,AI摘要标签,文本,否,AI自动生成的摘要标签,详情页,已整理
线索列表,站点,枚举,否,按站点过滤线索,查询条件,已整理
线索列表,创建时间,日期,否,按线索创建时间范围筛选,查询条件,已整理
线索列表,线索关键词,文本,否,搜索线索编号名称企业邮箱,查询条件,已整理
线索列表,状态,枚举,否,按线索状态下拉筛选,查询条件,已整理
线索列表,阶段,枚举,否,按跟进阶段筛选后台配置,查询条件,已整理
线索列表,意向产品,文本,否,按AI识别产品类目筛选,查询条件,已整理
线索列表,来源渠道,枚举,否,多选按来源渠道筛选,查询条件,已整理
线索列表,负责人,人员,否,按负责人筛选,查询条件,已整理
线索列表,标签,文本,否,多选按标签筛选包含任一,查询条件,已整理
线索列表,线索编号,文本,否,系统唯一编号固定格式,列表字段,已整理
线索列表,线索名称,文本,否,默认企业名称点击跳转详情,列表字段,已整理
线索列表,来源,文本,否,线索来源渠道取值官网询盘等,列表字段,已整理
线索列表,负责人（列表）,人员,否,当前线索负责人姓名,列表字段,已整理
线索列表,状态（列表）,枚举,否,线索当前状态彩色徽章,列表字段,已整理
线索列表,阶段（列表）,文本,否,最新跟进阶段无记录显示-,列表字段,已整理
线索列表,标签（列表）,文本,否,AI和手动标签混合最多3个,列表字段,已整理
线索列表,意向产品（列表）,文本,否,AI识别产品类目前2个超出+N,列表字段,已整理
线索列表,最近跟进,日期,否,最近跟进记录创建时间,列表字段,已整理
线索列表,创建时间（列表）,日期,否,线索创建时间,列表字段,已整理
线索列表,分页条数,枚举,否,默认50条支持20/50/100,列表字段,已整理
公海池,站点（公海）,枚举,否,按站点过滤公海线索,查询条件,已整理
公海池,入池时间,日期,否,按进入公海池时间筛选,查询条件,已整理
公海池,线索关键词（公海）,文本,否,搜索线索编号名称企业,查询条件,已整理
公海池,来源渠道（公海）,枚举,否,多选按来源渠道筛选,查询条件,已整理
公海池,意向产品（公海）,文本,否,按AI识别产品类目筛选,查询条件,已整理
公海池,线索编号（公海）,文本,否,系统唯一编号固定格式,列表字段,已整理
公海池,线索名称（公海）,文本,否,默认企业名称点击跳转,列表字段,已整理
公海池,来源渠道（列表）,文本,否,线索来源渠道,列表字段,已整理
公海池,来源站点,文本,否,线索所属站点,列表字段,已整理
公海池,入池时间（列表）,日期,否,线索进入公海池时间,列表字段,已整理
公海池,意向产品（列表）,文本,否,AI识别产品类目前2个超出+N,列表字段,已整理
公海池,目标负责人,人员,是,分配弹窗选择站点下销售人员,页面表单,已整理
公海池,分配备注,文本,否,记录分配原因可选,页面表单,已整理
公海池,回收原因,文本,是,多行文本记录回收原因,页面表单,已整理
跟进日志,时间范围（日志）,日期,否,按跟进时间筛选默认本月,查询条件,已整理
跟进日志,跟进人,人员,否,按跟进人下拉选择,查询条件,已整理
跟进日志,线索关键词（日志）,文本,否,搜索线索编号或名称,查询条件,已整理
跟进日志,跟进方式（筛选）,枚举,否,多选按跟进方式筛选,查询条件,已整理
跟进日志,阶段（筛选）,枚举,否,多选按跟进阶段筛选,查询条件,已整理
跟进日志,日志总数,文本,否,筛选条件下跟进记录总条数,详情页,已整理
跟进日志,今日跟进数,文本,否,今日创建跟进记录数量,详情页,已整理
跟进日志,待跟进数,文本,否,下次跟进时间等于今日记录数,详情页,已整理
跟进日志,跟进时间（列表）,日期,否,跟进记录创建时间倒序,列表字段,已整理
跟进日志,线索编号（日志）,文本,否,关联线索编号点击跳转,列表字段,已整理
跟进日志,线索名称（日志）,文本,否,关联线索名称点击跳转,列表字段,已整理
跟进日志,跟进人（列表）,人员,否,跟进用户姓名,列表字段,已整理
跟进日志,跟进方式（列表）,枚举,否,电话邮件WhatsApp会议拜访备注,列表字段,已整理
跟进日志,阶段（列表）,文本,否,跟进时记录的阶段名称,列表字段,已整理
跟进日志,跟进内容,文本,否,前50字符悬停显示完整,列表字段,已整理
跟进日志,下次跟进时间,日期,否,计划下次跟进时间过期红字,列表字段,已整理
线索详情,线索名称（详情）,文本,否,大号字体顶部左上方,详情页,已整理
线索详情,线索编号（详情）,文本,否,标签形式展示名称右侧,详情页,已整理
线索详情,状态（详情）,枚举,否,彩色徽章展示当前状态,详情页,已整理
线索详情,阶段（详情）,文本,否,最新跟进阶段值,详情页,已整理
线索详情,负责人（详情）,人员,否,当前线索负责人,详情页,已整理
线索详情,来源站点（详情）,文本,否,线索来源站点,详情页,已整理
线索详情,来源渠道（详情）,文本,否,线索来源渠道,详情页,已整理
线索详情,创建时间（详情）,日期,否,线索创建时间,详情页,已整理
线索详情,AI意向总结（详情）,文本,否,AI生成的意向总结,详情页,已整理
线索详情,AI标签（详情）,文本,否,AI自动生成的线索标签,详情页,已整理
线索详情,意向产品（详情）,文本,否,AI识别的客户感兴趣产品类目,详情页,已整理
线索详情,企业名称,文本,否,线索关联的企业名称,详情页,已整理
线索详情,联系人姓名（线索）,文本,否,主要联系人姓名,详情页,已整理
线索详情,联系人邮箱（线索）,邮箱,否,主要联系人邮箱,详情页,已整理
线索详情,联系人电话（线索）,电话,否,主要联系人电话,详情页,已整理
线索详情,创建人,人员,否,线索创建人,详情页,已整理
线索详情,关联客户,文本,否,已转客户时展示客户名称,详情页,已整理
线索详情,关联消息,文本,否,关联邮件和WhatsApp消息数量,详情页,已整理
客户列表,客户关键词,文本,否,搜索客户名称和编号,查询条件,已整理
客户列表,国家/地区,地址,否,按客户所在国家筛选,查询条件,已整理
客户列表,行业,枚举,否,按客户所属行业筛选,查询条件,已整理
客户列表,负责人（客户）,人员,否,按客户负责人筛选,查询条件,已整理
客户列表,站点（客户）,枚举,否,按来源站点筛选,查询条件,已整理
客户列表,客户名称（列表）,文本,否,客户企业名称点击跳转详情,列表字段,已整理
客户列表,来源站点（列表）,文本,否,客户所属站点多个顿号分隔,列表字段,已整理
客户列表,国家/地区（列表）,地址,否,客户所在国家,列表字段,已整理
客户列表,负责人（列表）,人员,否,客户当前负责人,列表字段,已整理
客户列表,客户标签,文本,否,客户级别标签超出3个+N,列表字段,已整理
客户列表,关联线索数,文本,否,客户下线索数量点击跳转,列表字段,已整理
客户列表,最近签约合同,文本,否,最近合同编号和签约时间,列表字段,已整理
客户列表,客户名称（表单）,文本,是,客户企业名称,页面表单,已整理
客户列表,来源站点（表单）,枚举,是,客户所属站点,页面表单,已整理
客户列表,国家/地区（表单）,地址,否,客户所在国家,页面表单,已整理
客户列表,行业（表单）,枚举,否,客户所属行业,页面表单,已整理
客户列表,联系人姓名（表单）,文本,否,主要联系人姓名,页面表单,已整理
客户列表,联系人职位,文本,否,主要联系人职位,页面表单,已整理
客户列表,联系人邮箱（表单）,邮箱,否,主要联系人邮箱,页面表单,已整理
客户列表,联系人电话（表单）,电话,否,主要联系人电话,页面表单,已整理
客户列表,当前负责人（转交）,人员,否,只读展示当前客户负责人,页面表单,已整理
客户列表,新负责人,人员,是,下拉选择站点下销售人员,页面表单,已整理
客户列表,转移备注,文本,是,多行文本记录转移原因,页面表单,已整理
客户列表,联系人姓名（编辑）,文本,是,联系人姓名,页面表单,已整理
客户列表,联系人职位（编辑）,文本,否,联系人职位,页面表单,已整理
客户列表,联系人邮箱（编辑）,邮箱,否,联系人邮箱,页面表单,已整理
客户列表,联系人电话（编辑）,电话,否,联系人电话,页面表单,已整理
客户列表,是否主要联系人,布尔,否,标识是否为主要联系人,页面表单,已整理
客户详情,客户名称（详情）,文本,否,大号字体突出显示,详情页,已整理
客户详情,客户编号,文本,否,格式CUS-YYYY-XXXX标签展示,详情页,已整理
