序号,一级模块,二级模块,页面名称,功能编号,功能名称,功能描述,操作说明,业务规则,输入项,输出项,异常处理,权限要求,关联页面,备注
193,站点中心,站点管理,站点管理,F-193,站点管理页面展示,系统以表格形式展示所有销售站点的列表,用户从左侧菜单进入站点管理页面,站点是企业面向客户提供产品或服务的独立销售入口，每个站点拥有独立的联系方式、业务流程、公海规则、AI规则和系统规则,无,展示站点列表,无,有站点管理权限的用户,无,
194,站点中心,站点管理,站点管理,F-194,站点关键词搜索,系统支持按站点名称或编码搜索,用户输入关键词后点击查询,搜索范围为站点名称或编码,关键词,筛选匹配的站点,无,有站点管理权限的用户,无,
195,站点中心,站点管理,站点管理,F-195,站点查询,系统根据搜索条件更新站点列表,用户点击"查询"按钮,无,无,刷新站点列表,无,有站点管理权限的用户,无,
196,站点中心,站点管理,站点管理,F-196,站点新增,系统支持新增销售站点,用户点击"新增站点"按钮，在弹出的新增窗口中填写站点信息后保存,站点不允许删除，仅支持创建后编辑或停用,站点名称（必填）、站点编码（必填）、域名（必填）、联系邮箱、WhatsApp,系统提示"站点创建成功"并刷新列表,无,有站点管理权限的用户,无,
197,站点中心,站点管理,站点管理,F-197,站点刷新,系统重新加载站点列表数据,用户点击"刷新"按钮,无,无,刷新站点列表数据,无,有站点管理权限的用户,无,
198,站点中心,站点管理,站点管理,F-198,站点编辑,系统支持编辑站点基本信息,用户点击"编辑"按钮，在弹出的编辑窗口中修改站点信息后保存,可编辑字段：站点名称、站点编码、域名、联系邮箱、WhatsApp,站点编辑表单,系统提示"站点信息已更新",无,有站点管理权限的用户,无,
199,站点中心,站点管理,站点管理,F-199,站点停用/启用,系统支持停用或启用站点,用户点击"停用"或"启用"按钮,1.停用后该站点将不再接收新消息，历史数据保留；2.停用操作需二次确认,无,站点状态变更，系统提示对应消息,停用后不再接收新消息，历史数据保留,有站点管理权限的用户,无,
200,站点中心,站点管理,站点管理,F-200,站点配置进入,系统跳转至站点配置页,用户点击"配置"按钮,无,无,跳转至站点配置页,无,有站点管理权限的用户,站点配置,
201,站点中心,站点详情,站点详情,F-201,站点详情页面展示,系统展示单个站点的详细信息，包含关联线索数、客户数、合同数和接口状态,用户从站点管理列表点击进入,站点不存在时展示提示信息,无,展示站点详情信息,站点不存在时提示"站点不存在"并引导返回,有站点管理权限的用户,站点管理,
202,站点中心,站点详情,站点详情,F-202,站点详情指标卡,系统展示站点下的线索总数、客户总数、合同总数和接口状态,在站点详情页顶部展示,1.客户归属单一站点，不跨站合并；2.合同口径为人民币,无,展示指标卡信息,无,有站点管理权限的用户,无,
203,站点中心,站点详情,站点详情,F-203,站点基础信息区,系统展示站点的基础配置信息,在站点详情页展示,包含站点名称、编码、域名、联系邮箱、WhatsApp、创建时间、配置摘要,无,展示站点基础信息,无,有站点管理权限的用户,无,
204,站点中心,站点详情,站点详情,F-204,站点详情进入配置,系统从站点详情页跳转至站点配置页,用户点击"进入配置"按钮,无,无,跳转至站点配置页,无,有站点管理权限的用户,站点配置,
205,站点中心,站点详情,站点详情,F-205,站点详情返回列表,系统从站点详情页返回站点管理列表,用户点击"返回列表"按钮,无,无,返回站点管理列表,无,有站点管理权限的用户,站点管理,
206,站点中心,站点配置,站点配置,F-206,站点配置页面展示,系统提供站点级配置管理，包含联系方式、业务流程、公海规则、AI规则和系统规则,用户从站点详情或站点管理列表进入,各配置分组独立保存,无,展示站点配置页面,无,有站点管理权限的用户,站点详情,
207,站点中心,站点配置,站点配置,F-207,联系方式配置Tab,系统支持编辑站点的联系邮箱和WhatsApp账号,用户切换至"联系方式"Tab，修改后点击"保存配置",联系方式独立保存,联系邮箱、WhatsApp,系统提示"配置已保存",无,有站点管理权限的用户,无,
208,站点中心,站点配置,站点配置,F-208,业务流程配置Tab,系统支持管理站点的跟进阶段，包含阶段名称、是否触发高意向和排序,用户切换至"业务流程"Tab，可新增阶段、编辑阶段、删除阶段,阶段被线索引用时删除需二次确认,阶段名称、触发高意向标记、排序,阶段配置保存,无,有站点管理权限的用户,无,
209,站点中心,站点配置,站点配置,F-209,业务流程-新增阶段,系统支持为站点新增跟进阶段,用户点击"新增阶段"按钮,新增阶段后可在线索跟进时选择,阶段名称（必填）、触发高意向标记,阶段新增成功,无,有站点管理权限的用户,无,
210,站点中心,站点配置,站点配置,F-210,业务流程-编辑阶段,系统支持编辑已有阶段的名称和高意向标记,用户点击"编辑"按钮,无,阶段编辑表单,系统提示"阶段已更新",无,有站点管理权限的用户,无,
211,站点中心,站点配置,站点配置,F-211,业务流程-删除阶段,系统支持删除已有阶段,用户点击"删除"按钮并确认,该阶段可能已被线索引用，删除需二次确认,无,确认删除弹窗，确认后阶段被删除,无,有站点管理权限的用户,无,
212,站点中心,站点配置,站点配置,F-212,公海规则配置Tab,系统支持配置站点的公海规则，包含自动回收开关和回收超时时长,用户切换至"公海规则"Tab，修改后点击"保存配置",公海规则独立保存,启用自动回收（开启/关闭）、回收超时时长,系统提示"配置已保存",无,有站点管理权限的用户,无,
213,站点中心,站点配置,站点配置,F-213,AI规则配置Tab,系统支持配置站点的AI识别规则启用状态,用户切换至"AI规则"Tab，修改后点击"保存配置",AI规则独立保存,启用AI识别（开启/关闭）,系统提示"配置已保存",无,有站点管理权限的用户,无,
214,站点中心,站点配置,站点配置,F-214,系统规则配置Tab,系统支持配置站点的关键词规则，包含规则名称、关键词、匹配逻辑、优先级和状态,用户切换至"系统规则"Tab，可新增规则、编辑规则、启用/停用规则,规则包含：规则名称、关键词、匹配逻辑、优先级、状态（启用/停用）,规则编辑字段,规则配置保存,无,有站点管理权限的用户,无,
215,站点中心,站点配置,站点配置,F-215,系统规则-新增规则,系统支持新增关键词识别规则,用户点击"新增规则"按钮,无,规则名称、关键词、匹配逻辑、优先级、状态,规则新增成功,无,有站点管理权限的用户,无,
216,站点中心,站点配置,站点配置,F-216,系统规则-编辑规则,系统支持编辑已有规则,用户点击"编辑"按钮,无,规则编辑表单,系统提示"规则已更新",无,有站点管理权限的用户,无,
217,站点中心,站点配置,站点配置,F-217,系统规则-启用/停用,系统支持启用或停用规则,用户点击"启用/停用"按钮,无,无,系统提示"规则状态已更新",无,有站点管理权限的用户,无,
218,站点中心,站点配置,站点配置,F-218,保存配置,系统保存当前Tab的配置项,用户在当前配置Tab中修改配置后点击"保存配置",各配置分组独立保存，仅保存当前Tab内容,取决于当前Tab的配置字段,系统提示"配置已保存",无,有站点管理权限的用户,无,
219,站点中心,站点配置,站点配置,F-219,站点配置返回详情,系统从站点配置页返回站点详情页,用户点击"返回详情"按钮,无,无,返回站点详情页,无,有站点管理权限的用户,站点详情,
