序号,一级模块,二级模块,页面名称,功能编号,功能名称,功能描述,操作说明,业务规则,输入项,输出项,异常处理,权限要求,关联页面,备注
13,工作台,工作台,工作台,F-013,工作台页面展示,工作台为系统首页，以卡片式仪表盘布局展示业务概览信息，包含顶部筛选栏、核心指标卡、图表区和快捷入口,用户登录成功后自动进入工作台页面,1.工作台默认展示全部站点的数据；2.不同角色看到的数据范围和指标维度不同，但页面布局一致；3.登录成功后根据角色跳转至对应视角的工作台,无,展示核心指标卡、图表和快捷入口,无,全部已登录用户,无,
14,工作台,工作台,工作台,F-014,时间范围筛选,系统支持按时间范围筛选工作台页面所有指标和图表数据,用户选择时间范围（今日/本周/本月/自定义）后点击查询按钮，系统刷新页面所有指标和图表数据,时间筛选作用于页面所有指标和图表（核心指标卡、销售漏斗、成交额趋势均受影响）,时间范围（今日/本周/本月/自定义）,按筛选条件刷新工作台数据,无,全部已登录用户,无,默认值为"今日"
15,工作台,工作台,工作台,F-015,站点筛选,系统支持按站点筛选工作台数据，仅管理员和区域负责人可见,用户选择站点后点击查询按钮，按站点过滤数据,仅系统管理员和区域负责人角色可见该筛选条件,站点（全部/具体站点名称）,按站点过滤工作台数据,无,系统管理员、区域负责人,无,默认值为"全部站点"
16,工作台,工作台,工作台,F-016,筛选查询,系统根据用户选择的时间范围和站点条件刷新工作台数据,用户点击"查询"按钮触发筛选,无,无,刷新工作台数据,无,全部已登录用户,无,
17,工作台,工作台,工作台,F-017,筛选重置,系统恢复筛选条件至默认值并重新加载数据,用户点击"重置"按钮，筛选条件恢复默认并刷新数据,无,无,重置筛选条件并刷新工作台数据,无,全部已登录用户,无,
18,工作台,工作台,工作台,F-018,新增线索指标卡,展示选定时间范围内系统新生成的线索总数及来源渠道分布,用户可点击指标卡跳转至线索列表,1.主数值为大号字体显示新增线索总数；2.下方展示来源渠道分布（邮件、WhatsApp、社媒）；3.社媒渠道为本期预留扩展，数据暂为0或隐藏，待后续接入Facebook Messenger、LinkedIn等渠道后启用,无,展示新增线索数量及来源分布,无,全部已登录用户,线索列表,
19,工作台,工作台,工作台,F-019,待跟进指标卡,展示当前用户下次跟进时间为今日的线索数量,用户点击指标卡跳转至线索列表并自动按"下次跟进时间=今日"过滤,仅统计当前用户有跟进计划且下次跟进时间等于今日的线索数量,无,展示待跟进线索数量,无,全部已登录用户,线索列表,
20,工作台,工作台,工作台,F-020,成交额指标卡,展示选定时间范围内已签订合同金额的累计总和,用户可点击指标卡跳转至合同中心,展示累计成交金额（含人民币币种）及较上一周期增长/下降百分比,无,展示成交额及环比变化,无,全部已登录用户,合同中心,
21,工作台,工作台,工作台,F-021,有效线索率指标卡,展示有效线索数占全部线索数的百分比,用户可查看有效线索率百分比及辅助信息,计算公式：有效线索率=有效线索数/全部线索数×100%,无,展示有效线索率及有效线索数/全部线索数,无,全部已登录用户,无,
22,工作台,工作台,工作台,F-022,线索成交率指标卡,展示已转化为合同的线索数占有效线索数的百分比,用户可查看线索成交率百分比及辅助信息,计算公式：线索成交率=已成交线索数/有效线索数×100%,无,展示线索成交率及已成交线索数/有效线索数,无,全部已登录用户,无,
23,工作台,工作台,工作台,F-023,客户活跃度指标卡,展示统计周期（默认近30天）内有跟进行为或消息互动的客户数量及占比,用户可查看活跃客户数及趋势,1.活跃定义：客户在统计周期内发生过新增消息、新增跟进记录或新增合同中任一行为；2.展示活跃客户数、占总客户数百分比及近7天变化趋势,无,展示活跃客户数、占比及趋势,无,全部已登录用户,无,
24,工作台,工作台,工作台,F-024,销售漏斗图,展示线索从进入到最终成交的各阶段转化情况，包括线索进入、有效线索、高意向、转客户、合同成交五个阶段,用户可在工作台查看销售漏斗图表，无需操作,1.漏斗数据受顶部时间范围筛选控制；2.每个阶段显示数量；3.相邻阶段之间显示转化百分比,无,展示销售漏斗各阶段数量和转化率,无,全部已登录用户,无,
25,工作台,工作台,工作台,F-025,成交额趋势图,展示选定时间范围内成交额的变化趋势折线图,用户可在工作台查看成交额趋势图表，默认展示近30天日成交额趋势,1.默认展示近30天日成交额趋势（折线图）；2.支持按日/周/月切换时间维度,无,展示成交额趋势折线图,无,全部已登录用户,无,
26,工作台,工作台,工作台,F-026,快捷入口-公海池,提供快速进入公海池页面的入口,用户点击快捷入口卡片跳转至公海池页面,无,无,跳转至公海池页面,无,全部已登录用户,线索中心-公海池,
27,工作台,工作台,工作台,F-027,快捷入口-线索列表,提供快速进入线索列表页面的入口,用户点击快捷入口卡片跳转至线索列表页面,无,无,跳转至线索列表页面,无,全部已登录用户,线索中心-线索列表,
28,工作台,工作台,工作台,F-028,快捷入口-客户列表,提供快速进入客户列表页面的入口,用户点击快捷入口卡片跳转至客户列表页面,无,无,跳转至客户列表页面,无,全部已登录用户,客户中心-客户列表,
29,工作台,工作台,工作台,F-029,快捷入口-合同中心,提供快速进入合同中心页面的入口,用户点击快捷入口卡片跳转至合同中心页面,无,无,跳转至合同中心页面,无,全部已登录用户,客户中心-合同中心,
