序号,一级模块,二级模块,页面名称,功能编号,功能名称,功能描述,操作说明,业务规则,输入项,输出项,异常处理,权限要求,关联页面,备注
254,个人中心,个人中心,我的资料,F-254,个人中心导航,系统提供个人中心页面的侧边导航，包含我的资料、账号绑定、修改密码、登录安全四个子页面,用户从Header右上角用户头像进入个人中心，点击侧边导航切换子页面,个人中心为非菜单入口，由Header用户头像进入,无,切换个人中心子页面,无,全部已登录用户,无,
255,个人中心,个人中心,我的资料,F-255,我的资料查看,系统展示当前登录用户的基本资料,用户在个人中心选择"我的资料"查看,展示姓名、手机号、邮箱、所属角色,无,展示用户基本资料,无,全部已登录用户,无,
256,个人中心,个人中心,我的资料,F-256,我的资料保存,系统支持用户修改个人资料并保存,用户修改资料后点击"保存"按钮,可修改字段：姓名、手机号、邮箱（本期角色为只读展示）,我的资料编辑字段,系统提示"个人信息已更新",无,全部已登录用户,无,
257,个人中心,个人中心,账号绑定,F-257,账号绑定页面,系统展示当前用户已绑定的邮箱和WhatsApp信息,用户在个人中心选择"账号绑定"查看,展示已绑定邮箱及绑定时间、已绑定WhatsApp账号,无,展示绑定信息,无,全部已登录用户,无,
258,个人中心,个人中心,账号绑定,F-258,新增邮箱绑定,系统支持用户新增邮箱绑定,用户点击"新增绑定"按钮,无,无,系统提示"邮箱绑定成功",无,全部已登录用户,无,
259,个人中心,个人中心,账号绑定,F-259,删除邮箱绑定,系统支持用户解除已绑定的邮箱,用户点击"删除绑定"按钮并确认,删除绑定需二次确认,无,确认弹窗，确认后邮箱绑定被删除,无,全部已登录用户,无,
260,个人中心,个人中心,账号绑定,F-260,解绑WhatsApp,系统支持用户解除已绑定的WhatsApp账号,用户点击"解绑"按钮并确认,解绑操作需二次确认,无,确认弹窗，确认后WhatsApp账号解绑,无,全部已登录用户,无,
261,个人中心,个人中心,修改密码,F-261,修改密码,系统支持用户修改当前登录密码,用户在个人中心选择"修改密码"，输入新密码和确认新密码后点击"确认修改",1.新密码与确认新密码须一致；2.修改成功后系统登出当前用户并跳转至登录页,新密码（必填）、确认新密码（必填）,密码修改成功，系统登出并跳转至登录页,两次密码不一致：前端校验提示,全部已登录用户,登录,
262,个人中心,个人中心,登录安全,F-262,登录安全页面,系统展示当前登录设备信息：浏览器、操作系统、IP地址、登录方式,用户在个人中心选择"登录安全"查看,无,无,展示当前登录设备信息,无,全部已登录用户,无,
263,个人中心,个人中心,登录安全,F-263,退出登录,系统支持用户主动退出当前登录会话,用户点击"退出登录"按钮,退出后清除Token和会话，跳转至登录页,无,系统登出并跳转至登录页,无,全部已登录用户,登录,退出无需二次确认
