序号,一级模块,二级模块,页面名称,功能编号,功能名称,功能描述,操作说明,业务规则,输入项,输出项,异常处理,权限要求,关联页面,备注
30,沟通中心,邮件,邮件,F-030,邮箱选择,系统支持用户切换邮箱账号查看对应邮件,用户从邮箱下拉列表中选择一个邮箱账号，系统加载该邮箱的邮件列表,邮箱选项包括：sales@global.example.com、quote@industrial.example.com,邮箱账号,切换邮箱加载对应邮件列表,无,有邮件权限的用户,无,
31,沟通中心,邮件,邮件,F-031,邮件关键词搜索,系统支持按关键词搜索邮件主题、发件人和正文,用户在关键词输入框中输入搜索内容后按回车键，系统筛选匹配的邮件,搜索范围为邮件主题、发件人、正文内容,关键词,筛选匹配的邮件列表,无,有邮件权限的用户,无,
32,沟通中心,邮件,邮件,F-032,邮件时间范围筛选,系统支持按时间范围筛选邮件,用户选择时间范围后，系统筛选该时间范围内的邮件,无,时间范围,筛选指定时间范围内的邮件,无,有邮件权限的用户,无,
33,沟通中心,邮件,邮件,F-033,附件筛选,系统支持按附件有无筛选邮件,用户选择附件筛选项（全部/有附件/无附件），系统筛选对应邮件,无,附件筛选条件（全部/有附件/无附件）,筛选后的邮件列表,无,有邮件权限的用户,无,
34,沟通中心,邮件,邮件,F-034,邮件查询,系统根据用户选择的筛选条件更新邮件列表,用户点击"查询"按钮触发筛选,无,无,刷新邮件列表,无,有邮件权限的用户,无,
35,沟通中心,邮件,邮件,F-035,邮件重置筛选,系统恢复邮件筛选条件至默认值并重新加载邮件列表,用户点击"重置"按钮,无,无,重置筛选条件并刷新邮件列表,无,有邮件权限的用户,无,
36,沟通中心,邮件,邮件,F-036,邮件刷新,系统重新加载当前邮箱的邮件列表,用户点击"刷新"按钮,无,无,刷新邮件列表,无,有邮件权限的用户,无,
37,沟通中心,邮件,邮件,F-037,批量AI提炼,系统对当前邮箱中的邮件批量执行AI智能分析提炼,用户点击"批量AI提炼"按钮,无,无,系统提示"已创建批量AI提炼任务",无,有邮件权限的用户,无,
38,沟通中心,邮件,邮件,F-038,邮件文件夹切换,系统支持用户在邮件文件夹（未读/收件箱/已发送/草稿箱/垃圾箱）间切换查看,用户点击对应文件夹标签，系统加载该文件夹下的邮件列表,文件夹包括：未读、收件箱、已发送、草稿箱、垃圾箱,文件夹名称,加载对应文件夹的邮件列表,无,有邮件权限的用户,无,
39,沟通中心,邮件,邮件,F-039,邮件列表展示,系统展示当前邮箱和文件夹下的邮件列表，包含主题、发件人、摘要和时间,用户在邮件列表中点击选择某一封邮件查看详情,1.未读邮件在主题前显示圆点标记；2.邮件列表支持点击选中,无,展示邮件列表及选中邮件的详情内容,无,有邮件权限的用户,无,
40,沟通中心,邮件,邮件,F-040,邮件详情查看,系统展示选中邮件的详细内容，包含发件人、收件人、时间、来源站点、AI智能分析和邮件原文,用户在邮件列表中点击一封邮件，右侧展示邮件详情,1.来源站点若已关联则展示站点名称，未关联则展示"待确认"标签；2.AI智能分析包含摘要、企业信息和风险信息；3.邮件原文包含正文内容和附件列表,无,展示邮件详情信息,无,有邮件权限的用户,无,
41,沟通中心,邮件,邮件,F-041,查看线索（邮件）,系统从邮件页面跳转至已关联的线索详情页,用户点击"查看线索"按钮跳转至线索详情页,仅当邮件已生成线索时展示"查看线索"按钮,无,跳转至线索详情页,无,有邮件权限的用户,线索详情,
42,沟通中心,邮件,邮件,F-042,生成线索（邮件）,系统对当前邮件生成线索,用户点击"生成线索"按钮，系统执行线索生成操作,仅当邮件未生成线索时展示"生成线索"按钮,无,系统提示"线索生成成功",无,有邮件权限的用户,线索列表,
43,沟通中心,邮件,邮件,F-043,邮件回复,系统唤起邮件回复流程（本期为预留功能）,用户点击"回复"按钮,本期回复为预留功能，仅做入口展示,无,系统提示"已唤起回复流程",无,有邮件权限的用户,无,
44,沟通中心,WhatsApp,WhatsApp,F-044,WhatsApp账号选择,系统支持用户切换WhatsApp账号查看对应会话,用户从账号下拉列表中选择一个账号，系统加载该账号的会话列表,账号选项：+1 415 010 2026,账号,切换账号加载对应会话列表,无,有WhatsApp权限的用户,无,
45,沟通中心,WhatsApp,WhatsApp,F-045,WhatsApp关键词搜索,系统支持按关键词搜索联系人、企业和消息内容,用户在关键词输入框中输入搜索内容后按回车键，系统筛选匹配的会话,搜索范围为联系人、企业名称、消息内容,关键词,筛选匹配的会话列表,无,有WhatsApp权限的用户,无,
46,沟通中心,WhatsApp,WhatsApp,F-046,WhatsApp查询,系统根据用户选择的条件更新会话列表,用户点击"查询"按钮触发筛选,无,无,刷新会话列表,无,有WhatsApp权限的用户,无,
47,沟通中心,WhatsApp,WhatsApp,F-047,WhatsApp重置筛选,系统恢复WhatsApp筛选条件至默认值并重新加载,用户点击"重置"按钮,无,无,重置筛选条件并刷新会话列表,无,有WhatsApp权限的用户,无,
48,沟通中心,WhatsApp,WhatsApp,F-048,WhatsApp刷新,系统重新加载当前账号的会话列表,用户点击"刷新"按钮,无,无,刷新会话列表,无,有WhatsApp权限的用户,无,
49,沟通中心,WhatsApp,WhatsApp,F-049,会话列表展示,系统展示当前WhatsApp账号下的会话列表，包含联系人、企业名称、最近消息和时间,用户在会话列表中点击选择一条会话查看详情,未读消息显示未读数量标记,无,展示会话列表及选中会话的详情,无,有WhatsApp权限的用户,无,
50,沟通中心,WhatsApp,WhatsApp,F-050,会话详情查看,系统展示选中会话的详细内容，包含联系人信息、消息记录、AI智能洞察和操作区,用户在会话列表中点击一条会话，右侧展示会话详情,1.联系人信息包含手机号、企业名称、地理位置和线索生成状态；2.消息记录按时间顺序展示；3.AI智能洞察包含摘要和标签,无,展示会话详情信息,无,有WhatsApp权限的用户,无,
51,沟通中心,WhatsApp,WhatsApp,F-051,查看线索（WhatsApp）,系统从会话页面跳转至已关联的线索详情页,用户点击"查看线索"按钮跳转至线索详情页,仅当会话已生成线索时展示"查看线索"按钮,无,跳转至线索详情页,无,有WhatsApp权限的用户,线索详情,
52,沟通中心,WhatsApp,WhatsApp,F-052,生成线索（WhatsApp）,系统对当前会话生成线索,用户点击"生成线索"按钮，系统执行线索生成操作,仅当会话未生成线索时展示"生成线索"按钮,无,系统提示"线索生成成功",无,有WhatsApp权限的用户,线索列表,
53,沟通中心,WhatsApp,WhatsApp,F-053,查看客户（WhatsApp）,系统从会话页面跳转至已关联的客户详情页,用户点击"查看客户"按钮跳转至客户详情页,仅当会话已关联客户时展示"查看客户"按钮,无,跳转至客户详情页,无,有WhatsApp权限的用户,客户详情,
54,沟通中心,WhatsApp,WhatsApp,F-054,WhatsApp回复,系统进入回复模式（本期为预留功能）,用户点击"回复"按钮,本期回复为预留功能，仅做入口展示,无,系统提示"已进入回复模式",无,有WhatsApp权限的用户,无,
