需求ID,功能模块,一级功能,二级功能,需求描述,业务规则/验收要点,优先级,阶段,备注
F001,登录,账号密码登录,登录邮箱输入,支持输入登录系统账号,账号不能为空；格式错误时提示用户修正,P0,一期必做,
F002,,,登录密码输入,支持输入登录密码,密码不能为空；密码输入态加密显示,P0,一期必做,
F003,,,记住密码,支持记住登录账号,默认勾选；下次登录自动填充账号,P1,一期优化,
F004,,,登录按钮,点击完成身份认证,登录成功进入首页；失败显示错误提示,P0,一期必做,
F005,,,登录验证码,支持手机验证码验证,验证码4位字母数字；刷新可换,P2,二期优化,
F006,,钉钉扫码登录,钉钉扫码入口,支持切换至钉钉扫码登录,仅提供入口,P0,一期必做,
F007,,,扫码认证,支持钉钉扫码完成认证,扫码成功后跳转首页；失败提示重试,P0,一期必做,
F008,,找回密码,找回密码入口,提供忘记密码入口链接,点击跳转找回密码页,P2,二期优化,
F009,,,联系管理员,提供联系管理员引导,展示不可自助找回的说明，引导联系管理员,P0,一期必做,
F010,,首次登录改密,新密码输入,支持输入新密码,密码至少8位；,P1,一期优化,
F011,,,确认新密码,支持再次输入确认密码,两次密码一致方可提交,P1,一期优化,
F012,,,确认修改按钮,点击完成密码修改,修改成功后提示并跳转登录页,P1,一期优化,
F013,,会话管理,会话过期提示,会话过期后显示过期页面,超过30分钟无操作自动过期,P2,二期优化,
F014,,登录安全,登录设备记录,展示当前设备登录信息,显示浏览器/操作系统/IP/登录方式,P2,二期优化,
F015,,,退出登录,支持安全退出当前账号,退出后清除会话；跳转登录页,P0,一期必做,
F016,工作台,指标概览,新增线索指标,展示新增线索总数,数据按当前筛选范围统计；点击可跳转线索列表,P0,一期必做,
F017,,,待跟进线索指标,展示待跟进线索数量,支持点击跳转线索列表并自动筛选待跟进,P0,一期必做,
F018,,,成交额指标,展示累计成交金额,金额格式化为¥；点击跳转合同中心,P0,一期必做,
F019,,,有效线索率,展示有效线索占比,计算公式：有效线索/总线索；静态展示,P0,一期优化,
F020,,,线索成交率,展示线索转客户成交比率,计算公式：成交线索/总线索；静态展示,P0,一期优化,
F021,,,客户活跃度,展示客户活跃度评分,评分依据最近跟进/沟通情况；静态展示,P0,一期优化,
F022,,数据筛选,时间范围筛选,支持按今日/本周/本月/自定义筛选数据,筛选影响所有指标和图表数据,P0,一期必做,
F023,,,站点筛选,支持按站点筛选数据,管理员/区域负责人可见全部站点；业务仅本人站点,P0,一期必做,
F024,,,查询按钮,点击刷新工作台数据,根据所选时间和站点重新加载,P0,一期必做,
F025,,,重置按钮,重置筛选条件为默认值,时间默认本月；站点默认全部,P1,一期优化,
F026,,销售漏斗,漏斗图表,展示线索阶段转换柱状图,按5个阶段（首次联系/需求确认/样品/报价/成交）,P1,一期优化,
F027,,成交趋势,成交额趋势图,展示月度成交额折线趋势,按近6个月维度展示,P1,一期优化,
F028,,快捷入口,公海池快捷入口,提供公海池快速导航卡片,点击跳转公海池页面,P0,一期必做,
F029,,,线索列表快捷入口,提供线索列表快速导航卡片,点击跳转线索列表页面,P0,一期必做,
F030,,,客户列表快捷入口,提供客户列表快速导航卡片,点击跳转客户列表页面,P0,一期必做,
F031,,,合同中心快捷入口,提供合同中心快速导航卡片,点击跳转合同中心页面,P0,一期必做,
F032,邮件,邮件列表,邮件账号切换,支持不同邮箱切换,切换后刷新邮件列表,P0,一期必做,
F033,,,文件夹切换,支持按未读/收件箱/已发送/草稿/垃圾箱切换,切换后刷新邮件列表,P0,一期必做,
F034,,,邮件列表展示,展示邮件摘要列表,显示主题/发件人/摘要/时间/正文,P0,一期必做,
F035,,,未读标记,未读邮件显示蓝色圆点标记,点击后自动标记为已读,P0,一期优化,
F036,,,邮件搜索,支持按关键词搜索邮件,在列表中筛选匹配邮件,P0,一期优化,
F037,,,时间范围筛选,支持按日期范围筛选邮件,与搜索条件组合使用,P1,一期优化,
F038,,,附件筛选,支持按附件有无筛选,可选全部/有附件/无附件,P2,二期优化,
F039,,,刷新邮件,支持手动刷新邮件列表,重新加载最新邮件数据,P0,一期必做,
F040,,邮件详情,邮件正文查看,支持查看完整邮件正文和附件,正文HTML渲染；附件可查看名称和大小,P0,一期必做,
F041,,,发件人信息展示,展示发件人/收件人/时间/来源站点,使用信息表格展示,P0,一期必做,
F042,,AI智能分析,AI意图总结,AI自动总结邮件内容意图,展示意向总结文本,P0,一期必做,
F043,,,AI意向匹配,AI可根据邮件信息结合企业自身情况进行匹配,展示匹配能力,P2,二期优化,
F044,,,AI企业画像-公司工商信息,AI提取邮件中的企业信息,展示企业名称/注册等,P0,一期必做,
F045,,,AI企业画像-风险提醒,AI识别企业中的风险信号,展示风险记录,P0,一期必做,
