序号,一级模块,二级模块,页面名称,功能编号,功能名称,功能描述,操作说明,业务规则,输入项,输出项,异常处理,权限要求,关联页面,备注
1,公共页面,登录,登录,F-001,账号密码登录,系统支持用户通过系统分配的账号和密码进行身份认证,用户在登录页面输入登录账号和登录密码后点击【登录】按钮，系统校验账号密码正确性后进入系统,1.登录失败时统一返回"用户名或密码错误"，不区分账号不存在或密码错误；2.用户停用时提示"当前账号已停用，请联系管理员"；3.密码过期提示为预留功能，本期不启用,登录账号（必填）、登录密码（必填）,登录成功加载用户信息与权限配置，跳转至工作台；登录失败返回错误提示,用户不存在或密码错误：提示"用户名或密码错误"；用户停用：提示"当前账号已停用，请联系管理员"；网络异常：提示"网络连接异常，请稍后重试",无（公共页面）,工作台,
2,公共页面,登录,登录,F-002,记住账号,系统支持将登录账号保存至本地存储，下次访问时自动填充账号,用户勾选"记住密码"复选框，下次访问登录页面时自动填充已保存的账号,记住密码为本地存储功能，仅保存账号信息，不保存密码,无,下次登录时自动填充账号,无,无（公共页面）,无,
3,公共页面,登录,登录,F-003,钉钉扫码登录,系统支持用户通过钉钉扫码完成身份认证，无需输入账号密码,用户在登录页面切换至"钉钉扫码登录"Tab，使用钉钉扫描二维码完成登录,1.已绑定系统账号：自动登录；2.未绑定系统账号：提示"当前钉钉账号未绑定系统用户，请联系管理员"；3.账号已停用：提示"当前账号已停用，请联系管理员",无,登录成功跳转至工作台；未绑定或已停用返回对应错误提示,未绑定：弹窗提示"当前钉钉账号未绑定系统用户，请联系管理员"；账号停用：禁止登录并提示,无（公共页面）,工作台,本期钉钉扫码为入口展示
4,公共页面,登录,登录,F-004,忘记密码引导,系统提供忘记密码入口，引导用户联系系统管理员处理,用户点击"忘记密码"链接，系统提示"请联系系统管理员重置密码",本期不启用自助找回密码功能,无,提示引导信息,无,无（公共页面）,登录,
5,公共页面,登录,忘记密码,F-005,忘记密码页,系统展示忘记密码页面，引导用户输入登录账号后联系管理员,用户在忘记密码页面输入登录账号，可选择"返回登录"或"联系管理员",本期不启用自助找回，仅提供引导,登录账号,提示请联系系统管理员,无,无（公共页面）,登录,
6,公共页面,登录,首次登录修改密码,F-006,首次登录修改密码,系统提示首次登录用户修改初始密码，保障账号安全,用户输入新密码和确认新密码后点击"确认修改"，系统保存新密码后跳转至登录页,1.新密码与确认新密码须一致；2.修改成功后提示"密码已修改，请重新登录",新密码（必填）、确认新密码（必填）,密码修改成功提示，跳转至登录页,两次密码不一致：前端校验提示（系统内置）,无（公共页面）,登录,
7,公共页面,异常提示,会话已过期,F-007,会话过期提示,系统在用户会话超时后展示会话已过期页面，引导用户重新登录,用户点击"重新登录"按钮跳转至登录页,因长时间未操作导致会话失效，须重新登录,无,跳转至登录页,无,无（公共页面）,登录,
8,公共页面,异常提示,无权限,F-008,无权限提示,系统在用户无权限访问页面时展示无权限提示页面,自动展示无权限页面，无用户操作,用户角色无对应页面权限时展示,无,无权限提示页面,无,无（公共页面）,无,
9,公共页面,异常提示,系统异常,F-009,系统异常提示,系统在服务端异常时展示系统异常提示页面,用户点击"返回工作台"按钮返回工作台,系统暂时无法完成请求，提示用户稍后重试或联系管理员,无,跳转至工作台,无,无（公共页面）,工作台,
10,公共页面,异常提示,网络异常,F-010,网络异常提示,系统在网络连接异常时展示网络异常提示页面,用户点击"重新加载"按钮重新加载系统,网络连接异常时展示提示,无,重新加载页面,无,无（公共页面）,无,
11,公共页面,异常提示,系统加载中,F-011,系统加载提示,系统在初始化用户信息、菜单权限和业务数据时展示加载提示页面,自动展示加载页面，初始化完成后自动跳转至工作台,系统加载期间展示加载动画和提示文字,无,自动进入工作台,加载失败时跳转至网络异常或系统异常页面,无（公共页面）,工作台,
12,公共页面,异常提示,页面不存在,F-012,页面不存在提示,系统在用户访问未匹配路由时展示404提示页面,用户点击"返回工作台"按钮返回工作台,未匹配到任何系统页面路由时展示,无,跳转至工作台,无,无（公共页面）,工作台,
