模块,一级功能,二级功能,需求描述,功能验收标准,优先级,实现范围
消息管理,邮件接入,邮箱绑定,支持用户在个人中心绑定多个邮箱账号，系统自动同步该邮箱的收件箱、已发送、草稿箱、垃圾箱邮件,用户可以完成邮箱绑定的新增和解除操作，绑定后系统自动同步邮件数据,P0,一期
消息管理,邮件查看,邮件列表查看,用户可在邮件模块左侧列表查看当前邮箱的收件箱、已发送、草稿箱、垃圾箱四个文件夹的邮件列表,用户切换文件夹后可看到对应邮件列表，列表展示发件人/收件人、主题、邮件摘要、时间等信息，默认按时间倒序排列,P0,一期
消息管理,邮件查看,邮件正文查看,用户点击邮件列表项后，中栏展示邮件完整内容，包括主题、发件人、收件人、时间、来源站点、正文和附件,用户点击任意邮件后可阅读邮件完整正文内容，附件支持点击下载,P0,一期
消息管理,邮件查看,邮件未读/已读管理,系统自动标记邮件为已读，未读邮件在列表中加粗显示，支持批量标记已读,用户查看邮件详情后自动标记为已读，未读邮件主题加粗区分，支持批量将多封邮件标记为已读,P0,一期
消息管理,邮件查看,邮件搜索,支持在当前邮箱内按邮件正文、主题、发件人/收件人关键词搜索邮件,用户在搜索框输入关键词后，列表实时展示匹配的邮件结果,P0,一期
消息管理,邮件管理,写邮件,支持用户新建邮件，填写收件人、抄送、密送、主题、正文并添加附件后发送,用户可完整撰写并发送邮件，支持富文本编辑、附件上传（单附件≤100MB，最多9个）、抄送和密送功能,P0,一期
消息管理,邮件管理,回复邮件,支持在邮件正文页点击回复，自动带入原邮件内容和收件人并添加"Re:"前缀,用户点击回复后自动打开撰写页签，原邮件内容和收件人自动带入，主题自动添加"Re:"前缀,P0,一期
消息管理,邮件管理,转发邮件,支持在邮件正文页点击转发，自动带入原邮件正文和附件，收件人留空并添加"Fwd:"前缀,用户点击转发后自动打开撰写页签，原邮件正文和附件自动带入，主题自动添加"Fwd:"前缀,P0,一期
消息管理,邮件管理,邮件删除,支持将邮件从收件箱、已发送移至垃圾箱，已生成线索不同步删除,用户删除邮件后邮件进入垃圾箱，已生成的线索不受影响,P0,一期
消息管理,邮件管理,邮件批量删除,支持在邮件列表中多选后批量删除至垃圾箱,用户勾选多封邮件后点击批量删除，所有选中邮件移至垃圾箱,P0,一期
消息管理,邮件管理,邮箱切换,支持在顶部导航下拉切换当前查看的邮箱账号，切换后列表刷新并默认进入收件箱,用户切换邮箱后列表区自动刷新为对应邮箱的收件箱数据并选中第一封邮件,P0,一期
消息管理,邮件管理,草稿管理,支持在写邮件时手动保存草稿，草稿箱中可继续编辑或删除草稿,用户在撰写邮件时可手动保存草稿，草稿箱中显示保存的草稿列表，支持继续编辑、删除和批量删除,P0,一期
消息管理,邮件管理,垃圾箱管理,支持查看垃圾箱邮件，支持恢复、永久删除、清空垃圾箱，超过30天自动清理,用户可在垃圾箱中查看已删除邮件，支持单条或批量恢复至原文件夹，支持永久删除和清空垃圾箱，系统自动清理超过30天的邮件,P0,一期
消息管理,WhatsApp接入,WhatsApp账号绑定,支持用户在个人中心绑定WhatsApp账号并指定归属站点，系统同步该账号的会话数据,用户可以完成WhatsApp账号的绑定和解绑操作，绑定后系统自动同步会话列表和消息记录,P0,一期
消息管理,WhatsApp会话管理,联系人列表查看,用户在WhatsApp模块左侧列表可查看所有联系人，展示头像、名称、最近消息摘要和时间,用户进入WhatsApp模块后可看到所有会话联系人列表，列表项显示头像、名称、最近一条消息摘要和时间,P0,一期
消息管理,WhatsApp会话管理,会话消息查看,用户选中联系人后，中栏展示完整的会话消息记录，按时间正序排列，支持查看文本、图片和文件消息,用户点击联系人后可查看完整会话记录，文本正常显示、图片可预览、文件可下载，消息显示发送时间和头像,P0,一期
消息管理,WhatsApp会话管理,发送消息,支持在会话中发送文本消息、图片和文件，支持Enter发送和Shift+Enter换行,用户在消息输入区可输入文本发送，支持上传图片和文件发送，发送成功后消息显示在会话中,P0,一期
消息管理,WhatsApp会话管理,消息搜索,支持按联系人名称、企业名称、消息内容搜索会话,用户在搜索框输入关键词后，左侧联系人列表实时过滤匹配的会话,P0,一期
消息管理,WhatsApp会话管理,消息刷新,支持手动刷新会话列表获取最新消息,用户点击刷新按钮后会话列表重新加载最新数据,P0,一期
AI智能能力,AI询盘识别,AI自动识别有效询盘,系统自动分析邮件和WhatsApp消息内容，判断是否为有效询盘（产品咨询、价格询问、采购需求等），自动回复和广告等无效消息不生成线索,系统对每封邮件和每条WhatsApp消息进行AI分析，有效询盘自动标识，无效消息不处理，AI不可用时自动降级为规则引擎,P0,一期
AI智能能力,AI自动生成线索,AI自动生成销售线索,AI识别有效询盘后，自动提取联系人信息、企业信息、业务信息，自动创建销售线索并归属给对应的业务员,有效询盘被AI识别后系统自动创建线索，线索包含联系人姓名、企业名称、意向产品、联系方式等字段，自动归属收件邮箱/账号对应的业务员,P0,一期
AI智能能力,AI意向分析,AI意向总结,AI对邮件和WhatsApp会话内容生成100-200字的自然语言意向总结，包含客户需求、预算信号、痛点及销售建议,用户在邮件正文或WhatsApp会话右侧AI面板中可查看AI生成的意向总结内容,P0,一期
AI智能能力,AI意向分析,AI意向产品识别,AI自动识别客户感兴趣的产品类目，在线索生成时写入线索字段,AI分析后意向产品信息在邮件和WhatsApp的AI面板中展示，生成线索时自动写入线索,P0,一期
AI智能能力,AI企业情报,AI企业信息提取,AI自动提取联系人所对应的企业公开信息，包括企业名称、基本信息、工商信息、行业、规模、成立时间、注册资本、主营业务等,AI在企业情报库面板中展示提取的企业信息，已存在于CRM的客户显示查看已有客户档案入口,P0,一期
AI智能能力,AI企业情报,AI参展资料分析,AI提取企业历史参展信息，包括参展次数、最近参展时间、展会名称、参展活跃度等,AI在参展资料面板中展示企业历史参展信息，供销售参考,P0,一期
AI智能能力,AI风险提醒,AI风险识别,AI识别安全与合规风险，如发件邮箱与官方域名差异等异常情况并给出提示,AI在风险提醒面板中展示识别的风险信息，帮助销售进行二次身份校验,P0,一期
AI智能能力,AI标签,AI分析标签,AI自动为消息生成分析标签（如价格敏感、采购意向强等），展示于AI面板只读,AI分析标签在邮件和WhatsApp的AI面板中展示，有效线索生成时自动写入线索标签,P1,一期
AI智能能力,AI批量提炼,批量AI提炼,支持对同一邮箱下最多50封邮件进行批量AI分析，并将提炼结果生成PDF文件下载至本地,用户多选邮件后点击批量AI提炼，系统分析完成后自动生成PDF并下载至本地,P1,一期
线索管理,线索列表,线索列表查看,用户在线索中心可查看有权限的全部线索列表，列表展示线索编号、询盘联系人、来源、负责人、状态、阶段、标签、意向产品、最近跟进、创建时间等信息,用户进入线索列表后可看到完整的线索数据表格，支持按状态、时间、关键词等多维度筛选和分页浏览,P0,一期
线索管理,线索列表,线索筛选与查询,支持按站点、创建时间、关键词、状态、阶段、意向产品、来源渠道、负责人、标签等多维度筛选线索,用户可通过筛选条件快速定位目标线索，筛选结果实时更新列表数据,P0,一期
线索管理,线索列表,线索批量导出,支持将选中的或当前筛选结果中的线索导出为CSV文件，单次最多10000条,用户选择线索后点击批量导出，系统生成CSV文件供下载，超出上限时提示缩小范围,P0,一期
