序号,一级模块,二级模块,页面名称,功能编号,功能名称,功能描述,操作说明,业务规则,输入项,输出项,异常处理,权限要求,关联页面,备注
112,客户中心,客户列表,客户列表,F-112,客户列表页面展示,系统以表格形式展示所有企业客户资产列表,用户从左侧菜单进入客户列表页面,展示客户编号、企业名称、国家/地区、行业、负责人、所属站点、标签、状态等字段,无,展示客户列表表格,无,有客户列表权限的用户,无,
113,客户中心,客户列表,客户列表,F-113,客户关键词搜索,系统支持按客户名称或编号搜索客户,用户输入关键词后点击查询,搜索范围为客户名称、客户编号,关键词,筛选匹配的客户列表,无,有客户列表权限的用户,无,
114,客户中心,客户列表,客户列表,F-114,客户国家/地区筛选,系统支持按国家/地区筛选客户,用户选择国家/地区后点击查询,国家选项：全部、Spain、United States、Canada等,国家/地区,筛选指定国家/地区的客户,无,有客户列表权限的用户,无,
115,客户中心,客户列表,客户列表,F-115,客户行业筛选,系统支持按行业筛选客户,用户选择行业后点击查询,行业选项：全部、家居零售、工业制造、礼品批发等,行业,筛选指定行业的客户,无,有客户列表权限的用户,无,
116,客户中心,客户列表,客户列表,F-116,客户负责人筛选,系统支持按负责人筛选客户,用户选择负责人后点击查询,负责人选项包括全部及所有业务员,负责人,筛选指定负责人的客户,无,有客户列表权限的用户,无,
117,客户中心,客户列表,客户列表,F-117,客户所属站点筛选,系统支持按所属站点筛选客户,用户选择站点后点击查询,站点选项包括全部及所有站点,站点,筛选指定站点的客户,无,有客户列表权限的用户,无,
118,客户中心,客户列表,客户列表,F-118,客户查询,系统根据筛选条件更新客户列表,用户点击"查询"按钮,无,无,刷新客户列表,无,有客户列表权限的用户,无,
119,客户中心,客户列表,客户列表,F-119,客户重置,系统恢复客户筛选条件至默认值并重新加载,用户点击"重置"按钮,无,无,重置筛选条件并刷新客户列表,无,有客户列表权限的用户,无,
120,客户中心,客户列表,客户列表,F-120,新建客户,系统支持用户创建新的客户记录,用户点击"新建客户"按钮，在弹出的新建窗口中填写客户信息后保存,1.客户名称和所属站点为必填；2.新建表单包含：客户名称、所属站点、国家/地区、行业、联系人姓名、联系人职位、联系人邮箱、联系人电话,客户名称（必填）、所属站点（必填）、国家/地区、行业、联系人信息,系统提示"客户创建成功"并刷新列表,无,新建客户权限（create-customer）,无,
121,客户中心,客户列表,客户列表,F-121,客户转交,系统支持将选中的一位或多位客户转交给其他负责人,用户选中客户后点击"客户转交"按钮，在弹出的转交窗口中选择新负责人并填写备注后确认,1.转交后未结束的线索同步转交给新人；2.历史线索不做变更；3.转交备注为必填,新负责人（必填）、转交备注（必填）,系统提示"客户已成功转交",无,转交权限（transfer）,无,
