序号,一级模块,二级模块,页面名称,功能编号,功能名称,功能描述,操作说明,业务规则,输入项,输出项,异常处理,权限要求,关联页面,备注
162,分析中心,销售经营,销售经营,F-162,销售经营页面展示,系统提供销售核心指标的经营分析看板，包含线索总量、成交金额、转化效率、销售漏斗及团队排行,用户从左侧菜单进入销售经营页面,无,无,展示销售经营分析看板,无,有销售经营权限的用户,无,
163,分析中心,销售经营,销售经营,F-163,销售经营时间筛选,系统支持按时间快捷选项筛选分析数据,用户选择时间快捷选项（今日/本周/本月/本季度/自定义）后点击查询,时间筛选作用于页面所有指标和图表,时间范围,刷新分析数据,无,有销售经营权限的用户,无,
164,分析中心,销售经营,销售经营,F-164,销售经营站点筛选,系统支持按站点筛选分析数据,用户选择站点后点击查询,站点筛选选项：全部及所有站点,站点,按站点过滤分析数据,无,有销售经营权限的用户,无,
165,分析中心,销售经营,销售经营,F-165,销售经营查询,系统根据筛选条件更新分析数据,用户点击"查询"按钮,无,无,刷新分析数据,无,有销售经营权限的用户,无,
166,分析中心,销售经营,销售经营,F-166,线索总数指标卡,展示系统线索总量及较上期变化,用户可在销售经营页面查看,包含总量、较上期增减及年度目标达成率,无,展示线索总数指标,无,有销售经营权限的用户,线索列表,支持点击跳转至线索列表
167,分析中心,销售经营,销售经营,F-167,新增线索指标卡（分析）,展示选定时间范围内新增线索数量及增长率,用户可在销售经营页面查看,包含新增数量和同比增长率,无,展示新增线索指标,无,有销售经营权限的用户,无,
168,分析中心,销售经营,销售经营,F-168,成交金额指标卡（分析）,展示累计成交金额及增长率,用户可在销售经营页面查看,金额口径为人民币,无,展示成交金额指标,无,有销售经营权限的用户,合同中心,支持点击跳转至合同中心
169,分析中心,销售经营,销售经营,F-169,线索转化率指标卡,展示线索转化率及对比行业平均水平,用户可在销售经营页面查看,计算公式为线索转客户的比例，展示行业平均作为参考,无,展示线索转化率指标,无,有销售经营权限的用户,无,
170,分析中心,销售经营,销售经营,F-170,销售漏斗分析图,展示从全部消息到转客户的完整漏斗转化路径,用户可在销售经营页面查看,漏斗阶段：全部消息→识别为线索→跟进中→高意向→转客户，展示各阶段绝对数量及相邻阶段转化率,无,展示销售漏斗分析图表,无,有销售经营权限的用户,无,
171,分析中心,销售经营,销售经营,F-171,线索增长与成交金额趋势图,展示年度线索增长与成交金额的组合趋势图表,用户可在销售经营页面查看,以月为维度展示线索数量和成交金额的双轴趋势,无,展示组合趋势图表,无,有销售经营权限的用户,无,
172,分析中心,销售经营,销售经营,F-172,销售排行榜（按成交额）,系统按成交额对业务员进行排名展示TOP10,用户切换至"按成交额"Tab查看,展示排名、业务员姓名及所属团队、线索数量、跟进数、转客户数、成交金额、目标达成率,无,展示成交额排行榜,无,有销售经营权限的用户,无,
173,分析中心,销售经营,销售经营,F-173,销售排行榜（按转客数）,系统按转客户数对业务员进行排名展示TOP10,用户切换至"按转客数"Tab查看,展示排名、业务员姓名及所属团队、线索数量、跟进数、转客户数、成交金额、目标达成率,无,展示转客数排行榜,无,有销售经营权限的用户,无,
174,分析中心,销售经营,销售经营,F-174,排行榜查看线索,系统从排行榜跳转至线索列表,用户点击排行榜行中的"查看线索"按钮,无,无,跳转至线索列表,无,有销售经营权限的用户,线索列表,
175,分析中心,获客分析,获客分析,F-175,获客分析页面展示,系统提供渠道效能与来源站点分析，帮助了解不同渠道和站点的获客能力与转化效率,用户从左侧菜单进入获客分析页面,无,无,展示获客分析看板,无,有获客分析权限的用户,无,
176,分析中心,获客分析,获客分析,F-176,获客分析时间筛选,系统支持按时间范围筛选获客数据,用户选择时间范围后点击查询,无,时间范围,刷新获客分析数据,无,有获客分析权限的用户,无,
177,分析中心,获客分析,获客分析,F-177,获客分析站点筛选,系统支持按站点筛选获客数据,用户选择站点后点击查询,无,站点,按站点过滤获客数据,无,有获客分析权限的用户,无,
178,分析中心,获客分析,获客分析,F-178,获客分析查询,系统根据筛选条件更新获客分析数据,用户点击"查询"按钮,无,无,刷新获客分析数据,无,有获客分析权限的用户,无,
179,分析中心,获客分析,获客分析,F-179,邮件效能分析,系统展示邮件渠道的效能指标：消息总量、AI识别数量、有效消息比例、增长,用户在获客分析页面查看邮件效能卡片,有效消息：经系统规则识别或AI识别，满足有效条件并生成线索的消息,无,展示邮件效能指标,无,有获客分析权限的用户,无,
180,分析中心,获客分析,获客分析,F-180,WhatsApp效能分析,系统展示WhatsApp渠道的效能指标：消息总量、AI识别数量、有效消息比例、增长,用户在获客分析页面查看WhatsApp效能卡片,有效消息：经系统规则识别或AI识别，满足有效条件并生成线索的消息,无,展示WhatsApp效能指标,无,有获客分析权限的用户,无,
181,分析中心,获客分析,获客分析,F-181,来源站点价值分析表,系统以表格展示各来源站点的消息数量、线索数量、转化率和成交金额,用户在获客分析页面查看来源站点价值分析表,站点数据按站点维度统计,无,展示站点价值分析表格,无,有获客分析权限的用户,站点详情,支持查看站点按钮
182,分析中心,客户经营,客户经营,F-182,客户经营页面展示,系统提供客户经营分析看板，包含客户总量、新增客户、成交客户、客户增长率及行业/国家分布,用户从左侧菜单进入客户经营页面,无,无,展示客户经营分析看板,无,有客户经营权限的用户,无,
183,分析中心,客户经营,客户经营,F-183,客户经营时间筛选,系统支持按时间范围筛选客户经营数据,用户选择时间范围后点击查询,无,时间范围,刷新客户经营数据,无,有客户经营权限的用户,无,
184,分析中心,客户经营,客户经营,F-184,客户经营站点筛选,系统支持按站点筛选客户经营数据,用户选择站点后点击查询,无,站点,按站点过滤客户经营数据,无,有客户经营权限的用户,无,
185,分析中心,客户经营,客户经营,F-185,客户经营查询,系统根据筛选条件更新客户经营数据,用户点击"查询"按钮,无,无,刷新客户经营分析数据,无,有客户经营权限的用户,无,
186,分析中心,客户经营,客户经营,F-186,客户总数指标卡,展示系统客户总量及较上一统计周期增长率,用户可在客户经营页面查看,包含客户总数和增长率,无,展示客户总数指标,无,有客户经营权限的用户,客户列表,支持点击跳转至客户列表
187,分析中心,客户经营,客户经营,F-187,新增客户指标卡,展示本月新增客户数量及增长率,用户可在客户经营页面查看,包含新增客户数和增长率,无,展示新增客户指标,无,有客户经营权限的用户,无,
188,分析中心,客户经营,客户经营,F-188,成交客户指标卡,展示已成交客户数量及增长率,用户可在客户经营页面查看,成交客户指有合同的客户,无,展示成交客户指标,无,有客户经营权限的用户,无,
189,分析中心,客户经营,客户经营,F-189,客户增长率指标卡,展示客户增长率百分比,用户可在客户经营页面查看,包含客户增长率和状态描述,无,展示客户增长率指标,无,有客户经营权限的用户,无,
190,分析中心,客户经营,客户经营,F-190,客户行业分布图,系统通过图表展示客户在各行业的分布占比,用户在客户经营页面查看客户行业分布,以饼图或条形图形式展示行业占比,无,展示客户行业分布图表,无,有客户经营权限的用户,无,
191,分析中心,客户经营,客户经营,F-191,客户国家/地区分布图,系统通过条形图展示客户在各国家/地区的分布数量,用户在客户经营页面查看客户国家分布,展示各国家/地区的客户数量排序,无,展示客户国家分布图表,无,有客户经营权限的用户,无,
192,分析中心,客户经营,客户经营,F-192,年度转化趋势图,系统展示本年度各月线索至客户的转化率变化趋势,用户在客户经营页面查看转化趋势,转化率=当月线索转客户数/当月有效线索数×100%,无,展示年度转化趋势图表,无,有客户经营权限的用户,无,
